type;name;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020
G;326;20.4783;31.4229;26.2623;27.2831;20.4306;28.2733
G;327;13.0589;10.437;9.1564;8.4719;7.7999;11.3464
G;328;20.3515;36.8013;45.4139;37.7104;9.1197;13.1207
G;329;34.4078;26.2148;15.0508;10.7292;19.4206;0
G;330;19.4845;21.0213;28.0267;23.7622;23.6035;0
G;331;0;0;15.7434;12.9141;14.6611;3.8485
G;332;21.5939;21.6692;19.7526;23.6474;21.9326;16.7749
G;333;29.1218;28.3317;26.4878;15.3952;0;0
G;334;9.9819;14.6018;4.8112;3.9208;5.0892;3.5989
G;335;16.2077;15.6321;14.2901;12.9158;0;0
G;336;9.8659;5.4442;8.105;8.272;5.0067;0
G;337;13.4092;19.1968;12.849;10.6284;12.1851;8.2809
G;338;16.6505;17.9892;14.5624;11.7156;10.6121;0
G;339;11.018;10.6839;7.1745;5.2995;9.2289;4.7336
G;340;18.6653;52.5528;26.7005;5.8655;0;0
G;341;17.7955;14.5702;7.8828;8.2228;0;0
G;342;64.9542;27.4759;24.4584;27.9507;0;0
G;343;11.2886;14.6923;6.7151;16.2873;10.1062;10.2455
G;344;12.5442;13.5951;9.9711;8.1563;7.7671;9.2473
G;345;16.1179;19.6487;34.1442;33.8607;0;0
G;346;6.9467;10.2084;5.5068;20.1563;16.5966;15.6691
G;347;9.1616;8.5371;10.0944;8.5917;6.7275;6.9535
G;348;18.7682;17.8922;10.7306;10.1931;8.6293;7.1551
G;349;38.6511;46.4565;38.2704;39.5138;43.3729;0
G;350;16.9894;12.8572;10.0626;9.0781;15.9289;0
G;351;20.4649;30.4654;34.891;37.851;44.13;46.9397
G;352;25.7917;20.3712;10.7492;8.3477;7.1923;5.9169
G;353;15.2624;19.8067;65.217;4.0918;48.9938;0
G;354;7.9963;6.0093;5.0393;8.055;5.6656;7.662
G;355;0;1.9263;1.5838;3.9094;4.5296;2.7437
G;356;32.1801;25.5612;21.6197;22.1857;21.1285;0
G;357;8.3119;4.0709;3.809;67.4533;43.8679;20.1521
G;358;13.3328;10.7952;9.3932;9.9897;10.3142;7.1229
D;1.15;75.218;0;0;0;0;0
D;2.15;9.8712;0;0;0;0;0
D;3.15;0;0;0;0;0;0
D;4.15;37.0654;0;0;0;0;0
D;5.15;21.8148;0;0;0;0;0
D;6.15;20.3992;0;0;0;0;0
D;7.15;6.4357;0;0;0;0;0
D;8.15;4.1047;0;0;0;0;0
D;9.15;0;0;0;0;0;0
D;10.15;0;0;0;0;0;0
D;11.15;19.196;0;0;0;0;0
D;12.15;48.5179;0;0;0;0;0
D;13.15;16.7794;0;0;0;0;0
D;14.15;0;0;0;0;0;0
D;15.15;33.907;0;0;0;0;0
D;16.15;11.6068;0;0;0;0;0
D;17.15;6.6874;0;0;0;0;0
D;18.15;29.5559;0;0;0;0;0
D;19.15;0;0;0;0;0;0
D;20.15;20.0726;0;0;0;0;0
D;21.15;0;0;0;0;0;0
D;22.15;0;0;0;0;0;0
D;23.15;0;0;0;0;0;0
D;24.15;7.2993;0;0;0;0;0
D;25.15;0;0;0;0;0;0
D;26.15;1.8326;0;0;0;0;0
D;27.15;0;0;0;0;0;0
D;28.15;15.4868;0;0;0;0;0
D;29.15;11.3352;0;0;0;0;0
D;30.15;0;0;0;0;0;0
